Movie,Year,RunTime,imdb,Genre,votes
Iron Man,2008,126 minutes,7.9,"Action, Adventure, Sci-Fi",1021309
The Princess Bride,1987,98 minutes,8.0,"Adventure, Family, Fantasy",419627
Harry Potter and the Goblet of Fire,2005,157 minutes,7.7,"Adventure, Family, Fantasy",603970
The Goonies,1985,114 minutes,7.7,"Adventure, Comedy, Family",263775
Mission: Impossible - Fallout,2018,147 minutes,7.7,"Action, Adventure, Thriller",319442
Harry Potter and the Deathly Hallows: Part 2,2011,130 minutes,8.2,"Adventure, Fantasy, Mystery",840554
The Martian,2015,144 minutes,8.0,"Adventure, Drama, Sci-Fi",824001
The Grand Budapest Hotel,2014,99 minutes,8.1,"Adventure, Comedy, Crime",776777
A Clockwork Orange,1971,136 minutes,8.3,"Crime, Sci-Fi",806643
12 Years a Slave,2013,134 minutes,8.1,"Biography, Drama, History",683214
Training Day,2001,122 minutes,7.7,"Action, Crime, Drama",422487
The Usual Suspects,1995,106 minutes,8.5,"Crime, Drama, Mystery",1056861
Zootopia,2016,108 minutes,8.0,"Animation, Adventure, Comedy",478775
Ratatouille,2007,111 minutes,8.1,"Animation, Adventure, Comedy",697328
Stand by Me,1986,89 minutes,8.1,"Adventure, Drama",391406
Scarface,1983,170 minutes,8.3,"Crime, Drama",806693
The Hobbit: An Unexpected Journey,2012,169 minutes,7.8,"Adventure, Fantasy",801159
The Lion King,1994,88 minutes,8.5,"Animation, Adventure, Drama",1018683
The Social Network,2010,120 minutes,7.8,"Biography, Drama",679864
Drive,2011,100 minutes,7.8,"Action, Drama",614751
The Avengers,2012,143 minutes,8.1,"Action, Adventure, Sci-Fi",1348266
Shrek,2001,90 minutes,7.9,"Animation, Adventure, Comedy",656782
Sen to Chihiro no kamikakushi,2001,125 minutes,8.6,"Animation, Adventure, Family",727007
L.A. Confidential,1997,138 minutes,8.3,"Crime, Drama, Mystery",569171
Dallas Buyers Club,2013,117 minutes,8.0,"Biography, Drama",475591
Memento,2000,113 minutes,8.5,"Mystery, Thriller",1202546
Argo,2012,120 minutes,7.7,"Biography, Drama, Thriller",603649
The Truman Show,1998,103 minutes,8.2,"Comedy, Drama",1029285
Ah-ga-ssi,2016,145 minutes,8.1,"Drama, Romance, Thriller",137105
The Hangover,2009,100 minutes,7.7,Comedy,764400
Zodiac,2007,157 minutes,7.7,"Crime, Drama, Mystery",520809
One Flew Over the Cuckoo's Nest,1975,133 minutes,8.7,Drama,979347
Atonement,2007,123 minutes,7.8,"Drama, Mystery, Romance",271323
Jaws,1975,124 minutes,8.1,"Adventure, Thriller",579712
Wind River,2017,107 minutes,7.7,"Crime, Drama, Mystery",241422
Arrival,2016,116 minutes,7.9,"Drama, Sci-Fi",665806
Aliens,1986,137 minutes,8.4,"Action, Adventure, Sci-Fi",696802
Full Metal Jacket,1987,116 minutes,8.3,"Drama, War",720938
Lawrence of Arabia,1962,218 minutes,8.3,"Adventure, Biography, Drama",286907
"Three Billboards Outside Ebbing, Missouri",2017,115 minutes,8.1,"Comedy, Crime, Drama",487142
Crash,2004,112 minutes,7.8,"Crime, Drama, Thriller",432549
The Hateful Eight,2015,168 minutes,7.8,"Crime, Drama, Mystery",575151
The Last Emperor,1987,163 minutes,7.7,"Biography, Drama, History",101312
Once Upon a Time in America,1984,229 minutes,8.4,"Crime, Drama",341161
What We Do in the Shadows,2014,86 minutes,7.7,"Comedy, Horror",176637
Star Wars: Episode VII - The Force Awakens,2015,138 minutes,7.9,"Action, Adventure, Sci-Fi",905802
